FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2023,4,,
A,Annuale,IT,Italia,AVTYPE_HAGG,Famiglie e nuclei familiari per tipologia (media biennale) -  famiglie con aggregati e più nuclei,HSC_F,Per 100 famiglie con le stesse caratteristiche,2024,3.7,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2015,9152,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2016,9064,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2017,8917,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2018,8790,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2019,8767,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2020,8644,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2021,8559,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2022,8363,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2023,8094,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,THV,Valori in migliaia,2024,7873,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2015,53.1,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2016,52.7,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2017,51.9,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2018,51.5,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2019,51.7,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2020,51,,
A,Annuale,IT,Italia,AVTYPE_HYESCHI,Famiglie e nuclei familiari per tipologia (media biennale) -  nuclei familiari - coppie con figli,HSC_N,Per 100 nuclei con le stesse caratteristiche,2021,50.9,,
